LNC,Multi-line Insurance
LIN,Industrial Gases
LYV,Movies & Entertainment
LKQ,Distributors
LMT,Aerospace & Defense
L,Multi-line Insurance
LOW,Home Improvement Retail
LYB,Specialty Chemicals
MTB,Regional Banks
MRO,Oil & Gas Exploration & Production
MPC,Oil & Gas Refining & Marketing
MKTX,Financial Exchanges & Data
MAR,"Hotels, Resorts & Cruise Lines"
MMC,Insurance Brokers
MLM,Construction Materials
MAS,Building Products
MA,Data Processing & Outsourced Services
MKC,Packaged Foods & Meats
MXIM,Semiconductors
MCD,Restaurants
MCK,Health Care Distributors
MDT,Health Care Equipment
MRK,Pharmaceuticals
MET,Life & Health Insurance
MTD,Life Sciences Tools & Services
MGM,Casinos & Gaming
MCHP,Semiconductors
MU,Semiconductors
MSFT,Systems Software
MAA,Residential REITs
MHK,Home Furnishings
TAP,Brewers
MDLZ,Packaged Foods & Meats
MNST,Soft Drinks
MCO,Financial Exchanges & Data
MS,Investment Banking & Brokerage
MOS,Fertilizers & Agricultural Chemicals
MSI,Communications Equipment
MSCI,Financial Exchanges & Data
MYL,Pharmaceuticals
NDAQ,Financial Exchanges & Data
NOV,Oil & Gas Equipment & Services
NTAP,"Technology Hardware, Storage & Peripherals"
NFLX,Movies & Entertainment
NWL,Housewares & Specialties
NEM,Gold
NWSA,Publishing
NWS,Publishing
NEE,Multi-Utilities
NLSN,Research & Consulting Services
NKE,"Apparel, Accessories & Luxury Goods"
NI,Multi-Utilities
NBL,Oil & Gas Exploration & Production
JWN,Department Stores
NSC,Railroads
NTRS,Asset Management & Custody Banks
NOC,Aerospace & Defense
NLOK,Application Software
NCLH,"Hotels, Resorts & Cruise Lines"
NRG,Independent Power Producers & Energy Traders
NUE,Steel
NVDA,Semiconductors
NVR,Homebuilding
ORLY,Specialty Stores
OXY,Oil & Gas Exploration & Production
ODFL,Trucking
OMC,Advertising
OKE,Oil & Gas Storage & Transportation
ORCL,Application Software
OTIS,Industrial Machinery
PCAR,Construction Machinery & Heavy Trucks
PKG,Paper Packaging
PH,Industrial Machinery
PAYX,Data Processing & Outsourced Services
PAYC,Application Software
PYPL,Data Processing & Outsourced Services
PNR,Industrial Machinery
PBCT,Thrifts & Mortgage Finance
PEP,Soft Drinks
PKI,Health Care Equipment
PRGO,Pharmaceuticals
PFE,Pharmaceuticals
PM,Tobacco
PSX,Oil & Gas Refining & Marketing
PNW,Multi-Utilities
PXD,Oil & Gas Exploration & Production
PNC,Regional Banks
PPG,Specialty Chemicals
PPL,Electric Utilities
PFG,Life & Health Insurance
PG,Personal Products
PGR,Property & Casualty Insurance
PLD,Industrial REITs
PRU,Life & Health Insurance
PEG,Electric Utilities
PSA,Specialized REITs
PHM,Homebuilding
PVH,"Apparel, Accessories & Luxury Goods"
QRVO,Semiconductors
PWR,Construction & Engineering
QCOM,Semiconductors
DGX,Health Care Services
RL,"Apparel, Accessories & Luxury Goods"
RJF,Investment Banking & Brokerage
RTX,Aerospace & Defense
O,Retail REITs
REG,Retail REITs
REGN,Biotechnology
RF,Regional Banks
RSG,Environmental & Facilities Services
RMD,Health Care Equipment
RHI,Human Resource & Employment Services
ROK,Electrical Components & Equipment
ROL,Environmental & Facilities Services
ROP,Industrial Conglomerates
ROST,Apparel Retail
RCL,"Hotels, Resorts & Cruise Lines"
SPGI,Financial Exchanges & Data
CRM,Application Software
SBAC,Specialized REITs
SLB,Oil & Gas Equipment & Services
STX,"Technology Hardware, Storage & Peripherals"
SEE,Paper Packaging
SRE,Multi-Utilities
NOW,Systems Software
SHW,Specialty Chemicals
SPG,Retail REITs
SWKS,Semiconductors
SLG,Office REITs
SNA,Industrial Machinery
SO,Electric Utilities
LUV,Airlines
SWK,Industrial Machinery
SBUX,Restaurants
STT,Asset Management & Custody Banks
STE,Health Care Equipment
SYK,Health Care Equipment
SIVB,Regional Banks
SYF,Consumer Finance
SNPS,Application Software
SYY,Food Distributors
TMUS,Wireless Telecommunication Services
TROW,Asset Management & Custody Banks
TTWO,Interactive Home Entertainment
TPR,"Apparel, Accessories & Luxury Goods"
TGT,General Merchandise Stores
TEL,Electronic Manufacturing Services
FTI,Oil & Gas Equipment & Services
TFX,Health Care Equipment
TXN,Semiconductors
TXT,Aerospace & Defense
TMO,Life Sciences Tools & Services
TIF,"Apparel, Accessories & Luxury Goods"
TJX,Apparel Retail
TSCO,Specialty Stores
TT,Building Products
TDG,Aerospace & Defense
TRV,Property & Casualty Insurance
TFC,Regional Banks
TWTR,Interactive Media & Services
TSN,Packaged Foods & Meats
UDR,Residential REITs
ULTA,Specialty Stores
USB,Diversified Banks
UAA,"Apparel, Accessories & Luxury Goods"
UA,"Apparel, Accessories & Luxury Goods"
UNP,Railroads
UAL,Airlines
UNH,Managed Health Care
UPS,Air Freight & Logistics
URI,Trading Companies & Distributors
UHS,Health Care Facilities
UNM,Life & Health Insurance
VFC,"Apparel, Accessories & Luxury Goods"
VLO,Oil & Gas Refining & Marketing
VAR,Health Care Equipment
VTR,Health Care REITs
VRSN,Internet Services & Infrastructure
VRSK,Research & Consulting Services
VZ,Integrated Telecommunication Services
VRTX,Biotechnology
VIAC,Movies & Entertainment
V,Data Processing & Outsourced Services
VNO,Office REITs
VMC,Construction Materials
WRB,Property & Casualty Insurance
WAB,Construction Machinery & Heavy Trucks
WMT,Hypermarkets & Super Centers
WBA,Drug Retail
DIS,Movies & Entertainment
WM,Environmental & Facilities Services
WAT,Health Care Distributors
WEC,Electric Utilities
WFC,Diversified Banks
WELL,Health Care REITs
WDC,"Technology Hardware, Storage & Peripherals"
WU,Data Processing & Outsourced Services
WRK,Paper Packaging
WY,Specialized REITs
WHR,Household Appliances
WMB,Oil & Gas Storage & Transportation
WLTW,Insurance Brokers
WYNN,Casinos & Gaming
XEL,Multi-Utilities
XRX,"Technology Hardware, Storage & Peripherals"
XLNX,Semiconductors
XYL,Industrial Machinery
YUM,Restaurants
ZBRA,Electronic Equipment & Instruments
ZBH,Health Care Equipment
ZION,Regional Banks
ZTS,Pharmaceuticals
